prompt,corrupted_prompt,answer
Solve the following and respond with only the final answer: What is 29 plus 82?,Solve the following and respond with only the final answer: What is 29 plus 65?,111
Solve the following and respond with only the final answer: What is 20 plus 13?,Solve the following and respond with only the final answer: What is 20 plus 80?,33
Solve the following and respond with only the final answer: What is 30 plus 91?,Solve the following and respond with only the final answer: What is 30 plus 62?,121
Solve the following and respond with only the final answer: 19+59=,Solve the following and respond with only the final answer: 19+35=,78
Solve the following and respond with only the final answer: 59+48=,Solve the following and respond with only the final answer: 59+15=,107
Solve the following and respond with only the final answer: What is 32 plus 16?,Solve the following and respond with only the final answer: What is 32 plus 11?,48
Solve the following and respond with only the final answer: 79+45=,Solve the following and respond with only the final answer: 79+38=,124
Solve the following and respond with only the final answer: What is 57 plus 19?,Solve the following and respond with only the final answer: What is 57 plus 44?,76
Solve the following and respond with only the final answer: What is 28 plus 52?,Solve the following and respond with only the final answer: What is 28 plus 93?,80
Solve the following and respond with only the final answer: 41+14=,Solve the following and respond with only the final answer: 41+34=,55
Solve the following and respond with only the final answer: What is 96 plus 74?,Solve the following and respond with only the final answer: What is 96 plus 56?,170
Solve the following and respond with only the final answer: What is 50 plus 17?,Solve the following and respond with only the final answer: What is 50 plus 93?,67
